"","WT 1","WT 2","WT 3","KO 1","KO 2","KO 3"
"ENSMUSG00000001741",94,77,161,67,110,71
"ENSMUSG00000001750",523,548,645,351,586,461
"ENSMUSG00000001751",370,373,578,285,471,387
"ENSMUSG00000001755",978,1204,1354,779,1133,1026
"ENSMUSG00000001761",455,473,665,343,530,447
"ENSMUSG00000001763",1139,1308,1640,861,940,1459
"ENSMUSG00000001767",660,911,967,477,853,983
"ENSMUSG00000001768",1727,2172,3496,2029,2510,2759
"ENSMUSG00000001773",199,323,442,398,477,355
"ENSMUSG00000001774",2022,2272,3187,1760,2420,3175
"ENSMUSG00000001783",3805,4802,6165,3088,4383,4397
"ENSMUSG00000001785",709,791,1122,624,762,880
"ENSMUSG00000001786",1980,2538,3482,1938,2878,2453
"ENSMUSG00000001794",3737,4695,6271,3250,4944,4720
"ENSMUSG00000001802",5220,5990,7754,4271,5664,5458
"ENSMUSG00000001804",0,0,0,0,0,0
"ENSMUSG00000001815",1,0,2,0,3,2
"ENSMUSG00000001819",0,0,0,0,0,0
"ENSMUSG00000001823",0,1,0,0,0,0
"ENSMUSG00000001827",6,2,1,2,5,8
"ENSMUSG00000001829",1376,1762,2160,1254,1725,1679
"ENSMUSG00000001833",16959,19723,27745,14317,20422,19345
"ENSMUSG00000001844",686,840,988,586,824,817
"ENSMUSG00000001847",5779,6655,9161,4368,6448,6667
"ENSMUSG00000001855",2076,2459,3114,1701,2147,2270
"ENSMUSG00000001864",307,366,590,305,560,340
"ENSMUSG00000001865",0,2,1,0,2,2
"ENSMUSG00000001870",460,526,781,346,670,544
"ENSMUSG00000001891",3095,3369,5485,2479,4043,3741
"ENSMUSG00000001901",168,209,270,117,194,224
"ENSMUSG00000001909",1731,1921,2145,1392,1661,1656
"ENSMUSG00000001910",2153,2734,3406,1989,2818,2714
"ENSMUSG00000001911",13661,15811,20327,13152,17393,11558
"ENSMUSG00000001918",126,131,254,140,183,203
"ENSMUSG00000001924",14012,17586,23228,11544,15985,16667
"ENSMUSG00000001930",1431,1969,2355,1309,1786,1992
"ENSMUSG00000001942",1169,1306,1842,1071,1366,1492
"ENSMUSG00000001943",479,597,618,435,680,790
"ENSMUSG00000001946",746,966,1162,637,1059,920
"ENSMUSG00000001948",49,60,87,64,51,75
"ENSMUSG00000001962",486,687,913,403,604,684
"ENSMUSG00000001964",1238,1840,2329,1054,1382,1432
"ENSMUSG00000001983",344,447,642,304,453,466
"ENSMUSG00000001985",6601,6703,10071,4932,7551,7887
"ENSMUSG00000001986",15060,17019,22420,11259,15063,17137
"ENSMUSG00000001988",581,680,1041,441,805,589
"ENSMUSG00000001995",2900,3460,5409,2736,3920,3885
"ENSMUSG00000001998",675,708,950,499,665,696
"ENSMUSG00000001999",533,774,960,456,634,613
"ENSMUSG00000002006",5966,7485,10454,5130,7569,7709
"ENSMUSG00000002007",277,336,432,242,283,300
"ENSMUSG00000002010",2600,3516,4021,2321,2947,2713
"ENSMUSG00000002012",2235,2476,3289,1585,1428,2445
"ENSMUSG00000002014",776,1026,1199,702,929,845
"ENSMUSG00000002015",1627,1953,2704,1422,2024,1746
"ENSMUSG00000002017",1139,1373,2105,1171,1579,1627
"ENSMUSG00000002020",40,33,39,32,46,43
"ENSMUSG00000002028",12550,14550,19177,10123,11046,16770
"ENSMUSG00000002031",982,1183,1590,835,1086,996
"ENSMUSG00000002032",3121,3679,5192,2960,3857,3612
"ENSMUSG00000002033",1,2,1,2,1,1
"ENSMUSG00000002043",221,355,325,149,266,230
"ENSMUSG00000002052",8481,10300,13538,6980,8960,10316
"ENSMUSG00000002055",1511,1690,1493,793,806,1056
"ENSMUSG00000002057",6,4,2,3,1,0
"ENSMUSG00000002058",869,1022,1236,668,1044,880
"ENSMUSG00000002059",355,428,499,301,450,334
"ENSMUSG00000002064",1549,1964,2642,1325,1920,1946
"ENSMUSG00000002068",539,702,1014,440,586,721
"ENSMUSG00000002076",15,27,29,3,17,17
"ENSMUSG00000002083",341,365,476,204,251,246
"ENSMUSG00000002100",12,23,53,37,46,22
"ENSMUSG00000002102",3191,4235,5491,2837,3985,3924
"ENSMUSG00000002103",3159,3625,4738,2445,3549,3409
"ENSMUSG00000002104",14,26,33,13,26,26
"ENSMUSG00000002105",1029,1216,1391,814,1207,1087
"ENSMUSG00000002107",22685,24697,32443,17796,22708,26856
"ENSMUSG00000002108",130,110,162,75,155,109
"ENSMUSG00000002109",452,491,602,398,376,437
"ENSMUSG00000002111",139,134,218,96,163,110
"ENSMUSG00000002129",3078,4051,5170,2530,3652,4021
"ENSMUSG00000002147",659,874,1067,551,814,921
"ENSMUSG00000002190",656,793,1051,491,762,734
"ENSMUSG00000002204",46,26,37,33,38,38
"ENSMUSG00000002205",720,914,1158,582,933,971
"ENSMUSG00000002210",1140,1271,1836,1029,1304,1285
"ENSMUSG00000002221",1917,2205,2909,1689,2213,2232
"ENSMUSG00000002222",8054,9116,12537,6725,8673,10423
"ENSMUSG00000002227",284,286,341,171,217,315
"ENSMUSG00000002228",24,13,29,12,29,23
"ENSMUSG00000002233",264,303,414,203,362,315
"ENSMUSG00000002240",0,0,0,0,0,0
"ENSMUSG00000002249",80,103,168,81,120,181
"ENSMUSG00000002250",1426,1728,2647,1355,2269,1975
"ENSMUSG00000002257",73,98,124,78,114,88
"ENSMUSG00000002265",22691,25525,37603,18794,23414,32085
"ENSMUSG00000002266",66,84,117,53,96,120
"ENSMUSG00000002274",181,223,387,215,314,252
"ENSMUSG00000002279",475,685,889,461,742,551
"ENSMUSG00000002280",1090,1208,1570,889,1147,1095
"ENSMUSG00000002289",59,65,110,63,68,91
"ENSMUSG00000002297",75,67,90,57,81,97
"ENSMUSG00000002307",843,1106,1416,751,969,1085
"ENSMUSG00000002308",482,622,782,428,546,529
"ENSMUSG00000002319",2657,3293,3922,2129,2953,2867
"ENSMUSG00000002320",772,946,1283,704,886,934
"ENSMUSG00000002324",6,9,17,0,8,3
"ENSMUSG00000002325",460,573,738,408,521,728
"ENSMUSG00000002326",654,887,1058,608,813,732
"ENSMUSG00000002329",1437,1762,2480,1165,1788,1701
"ENSMUSG00000002332",1943,2314,3251,1578,2384,2283
"ENSMUSG00000002341",13431,13549,19414,11643,14456,14919
"ENSMUSG00000002342",932,1181,1692,822,1394,1101
"ENSMUSG00000002343",1067,1277,1746,878,1329,1252
"ENSMUSG00000002345",703,779,833,631,584,744
"ENSMUSG00000002346",1778,2143,2846,1506,2270,2217
"ENSMUSG00000002365",393,425,556,273,440,431
"ENSMUSG00000002372",3193,3775,5209,2783,3642,3602
"ENSMUSG00000002379",1244,1672,2236,1163,1655,1558
"ENSMUSG00000002384",14,13,22,6,19,9
"ENSMUSG00000002393",692,752,1148,410,808,779
"ENSMUSG00000002395",1438,1607,2004,1148,1465,1397
"ENSMUSG00000002396",994,1245,1636,914,1136,1236
"ENSMUSG00000002409",1157,1288,1507,856,1182,1385
"ENSMUSG00000002413",7984,9062,11922,6978,8303,9860
"ENSMUSG00000002416",856,1174,1367,751,926,1067
"ENSMUSG00000002428",928,938,1286,790,965,864
"ENSMUSG00000002455",2033,2744,3635,1663,2323,2613
"ENSMUSG00000002458",504,611,811,432,675,572
"ENSMUSG00000002459",871,1027,1565,793,1337,1359
"ENSMUSG00000002475",2553,2721,5516,2251,4012,3976
"ENSMUSG00000002477",231,282,386,183,294,342
"ENSMUSG00000002486",426,582,676,294,467,566
"ENSMUSG00000002489",5798,6938,9824,4521,4341,8644
"ENSMUSG00000002496",4895,6814,7949,4452,5839,6017
"ENSMUSG00000002500",14,11,17,4,19,12
"ENSMUSG00000002504",1616,1975,2545,1555,2335,1803
"ENSMUSG00000002524",5096,6280,8173,4243,5758,5651
"ENSMUSG00000002546",4183,4812,6486,3381,4720,4495
"ENSMUSG00000002550",99,154,178,96,160,150
"ENSMUSG00000002565",2,6,7,4,3,3
"ENSMUSG00000002578",1032,1090,1474,666,874,1046
"ENSMUSG00000002580",1344,1820,2453,1327,1950,1771
"ENSMUSG00000002588",1,0,0,0,1,0
"ENSMUSG00000002602",2311,2298,4097,2412,3990,3233
"ENSMUSG00000002603",265,321,449,170,342,261
"ENSMUSG00000002608",2689,2982,3811,2033,2996,3004
"ENSMUSG00000002617",555,1159,1733,760,1062,894
"ENSMUSG00000002625",4456,5714,6051,3676,4042,5023
"ENSMUSG00000002633",135,117,246,91,137,156
"ENSMUSG00000002635",372,464,625,335,469,462
"ENSMUSG00000002658",2037,2766,3686,1993,2533,2572
"ENSMUSG00000002660",1064,1417,1870,1078,1607,1278
"ENSMUSG00000002661",337,475,613,325,421,409
"ENSMUSG00000002664",15,14,34,7,15,25
"ENSMUSG00000002668",66,55,76,29,60,56
"ENSMUSG00000002679",423,493,626,314,427,471
"ENSMUSG00000002688",419,488,748,375,623,549
"ENSMUSG00000002699",81,82,140,58,102,104
"ENSMUSG00000002718",1851,2237,2857,1447,1962,2057
"ENSMUSG00000002728",260,359,491,280,281,347
"ENSMUSG00000002731",546,568,812,431,578,509
"ENSMUSG00000002732",71,94,140,84,109,89
"ENSMUSG00000002733",1290,1604,2281,1188,1746,1834
"ENSMUSG00000002741",3288,4509,5743,2917,4401,4444
"ENSMUSG00000002748",7629,8733,11094,6592,8319,8805
"ENSMUSG00000002763",2567,3102,4033,2378,3208,2848
"ENSMUSG00000002767",789,1032,1341,630,986,912
"ENSMUSG00000002768",1886,2548,3358,1615,2420,2299
"ENSMUSG00000002769",27,32,47,21,28,30
"ENSMUSG00000002771",1327,1424,2032,900,1364,1207
"ENSMUSG00000002778",1903,2115,3007,1544,2169,2105
"ENSMUSG00000002781",823,1076,1309,716,1047,943
"ENSMUSG00000002791",2,0,4,1,2,2
"ENSMUSG00000002797",360,411,661,420,469,467
"ENSMUSG00000002799",2123,2410,2908,1617,2068,2152
"ENSMUSG00000002803",2752,3213,4471,2137,3255,2973
"ENSMUSG00000002804",216,241,369,193,223,218
"ENSMUSG00000002808",6376,7208,10358,5009,7827,8016
"ENSMUSG00000002812",2479,3114,3908,2018,2950,2752
"ENSMUSG00000002814",187,244,347,163,268,230
"ENSMUSG00000002820",840,1147,1557,878,1295,1049
"ENSMUSG00000002825",384,508,518,306,387,471
"ENSMUSG00000002831",114,124,226,530,481,569
"ENSMUSG00000002833",2850,3551,4604,2382,3045,3323
"ENSMUSG00000002835",146,166,191,127,173,170
"ENSMUSG00000002844",4058,5145,6487,3181,4816,4762
"ENSMUSG00000002845",275,369,496,251,366,333
"ENSMUSG00000002846",563,696,909,501,751,689
"ENSMUSG00000002847",53,62,68,50,61,56
"ENSMUSG00000002870",165,214,294,162,217,138
"ENSMUSG00000002871",514,636,735,408,570,492
"ENSMUSG00000002881",541,714,1121,476,776,929
